v1,v2
ham,hi can we meet tomorrow at 3 pm
spam,win 500 now click here http example com offer1
ham,thanks for your email ill reply by monday
spam,urgent verify your account at http example com link2
ham,reminder your appointment is on tuesday at 10 am
spam,free offer get your prize at http example com deal
ham,hey alice hows it going
spam,exclusive deal buy now and save 50 percent
ham,lets catch up this weekend okay
spam,congratulations youve won a 100 gift card
ham,can you send me the report by wednesday
spam,limited time offer click to claim your reward
ham,looking forward to our meeting on friday
spam,earn money fast join now at http example com link3
ham,just checking in hope youre doing well
spam,your account is at risk update details now
ham,can we discuss the project tomorrow
spam,get free samples today visit http example com free
ham,happy to help let me know when youre free
spam,click here to claim your exclusive discount
ham,hi bob are we still meeting at 2 pm
spam,win 750 now click here http example com promo
ham,ill call you tomorrow to confirm the details
spam,urgent action needed verify at http example com verify
ham,reminder team meeting is on thursday at 9 am
spam,save 70 percent today only at http example com sale
ham,hey just wanted to say thanks for the help
spam,youre a winner claim your prize at http example com win
ham,can you review the document by tomorrow
spam,free gift card worth 200 click to claim
ham,lets grab coffee next week
spam,exclusive offer dont miss out visit http example com now
ham,hi thanks for the update ill get back to you
spam,win a free trip click here http example com travel
ham,can we reschedule our call to monday
spam,urgent your subscription expires soon renew now
ham,just sent you the files let me know if you got them
spam,save big on your next purchase click here
ham,hope youre having a great day
spam,congratulations claim your 500 bonus now
ham,lets meet at the office tomorrow at 4 pm
spam,free trial available at http example com trial
ham,thanks for the feedback ill make the changes
spam,win 1000 instantly click to enter
ham,can you join the call at 11 am
spam,exclusive member offer save 60 percent today
ham,hey bob lets plan the project timeline
spam,urgent verify your email at http example com secure
ham,reminder your presentation is due friday
spam,click now for a free 50 gift card
ham,hi alice can we meet next week
spam,win big today visit http example com jackpot
ham,thanks for the invite ill be there
spam,save 80 percent on all items click here
ham,can you send the agenda for tomorrows meeting
spam,youve been selected for a free prize claim now
ham,just checking if you received my email
spam,urgent action required click http example com urgent
ham,lets catch up over lunch soon
spam,win a 300 gift card click to claim
ham,hi can you call me when youre free
spam,exclusive deal limited time only visit now
ham,thanks for the quick response
spam,free offer dont miss out click here
ham,reminder project deadline is next monday
spam,win 250 now click http example com prize
ham,hey just wanted to follow up
spam,urgent verify your account details now
ham,can we schedule a meeting for wednesday
spam,save 65 percent today only click here
ham,thanks for helping with the project
spam,congratulations youve won a free trip
ham,lets discuss the plan tomorrow
spam,click to claim your 100 bonus now
ham,hi bob hope all is well
spam,exclusive offer save big at http example com
ham,can you share the latest updates
spam,win 600 now click here to enter
ham,reminder our call is at 2 pm
spam,urgent renew your subscription at http example com
ham,thanks for the great feedback
spam,free 75 gift card click to claim
ham,lets meet at 10 am tomorrow
spam,save 55 percent today visit http example com sale
ham,hi alice can you review the draft
spam,win a free prize click http example com win
ham,just sent you the meeting invite
spam,exclusive deal click now to save
ham,can we talk about the project tomorrow
spam,urgent verify your details at http example com verify
ham,thanks for the update ill check it out
spam,congratulations claim your 200 gift card
ham,reminder team meeting is on monday
spam,free offer click here to claim
ham,hey bob lets catch up soon
spam,win 800 now visit http example com promo
ham,can you send the files by tomorrow
spam,save 75 percent today only click here
ham,hi hope youre doing well
spam,urgent action needed verify now
ham,lets plan the meeting for next week
spam,click to claim your free 50 gift card
ham,thanks for the quick reply
spam,win a 400 gift card click here
ham,can we meet at 3 pm on tuesday
spam,exclusive offer limited time click now
ham,reminder submit your report by friday
spam,save 60 percent at http example com sale
ham,hey alice thanks for the help
spam,congratulations youve won a 300 prize
ham,can you join the call tomorrow
spam,free trial click http example com trial
ham,just checking in on the project
spam,win 1000 now click to claim
ham,lets discuss the details on monday
spam,urgent verify your account at http example com
ham,thanks for sending the documents
spam,save 70 percent today click here
ham,hi bob can we meet tomorrow
spam,exclusive deal dont miss out now
ham,reminder our meeting is at 11 am
spam,win a free 100 gift card click now
ham,can you review the proposal
spam,urgent action required click http example com
ham,lets catch up next week
spam,save 80 percent visit http example com sale
ham,thanks for the update bob
spam,congratulations claim your free prize
ham,can we schedule a call for thursday
spam,win 500 instantly click here
ham,just sent the project plan
spam,free offer visit http example com now
ham,hi alice hope youre doing great
spam,urgent verify your email now
ham,reminder deadline is tomorrow
spam,click to save 65 percent today
ham,thanks for the feedback ill revise
spam,win a 200 gift card click here
ham,lets meet at 2 pm tomorrow
spam,exclusive offer click http example com deal
ham,can you send the details by monday
spam,save 55 percent now visit http example com
ham,hey bob lets plan the meeting
spam,congratulations youve won a free trip
ham,thanks for the quick response
spam,urgent renew your subscription now
ham,can we discuss tomorrow at 10 am
spam,win 750 now click http example com prize
ham,just checking if you got my message
spam,free 100 gift card click to claim
ham,lets catch up over coffee
spam,save 60 percent today only click here
ham,hi thanks for the help
spam,exclusive deal limited time visit now
ham,reminder meeting is on wednesday
spam,win a 300 prize click http example com
ham,can you share the report soon
spam,urgent verify your account details
ham,thanks for the great work
spam,click to claim your free reward
ham,lets meet next week
spam,save 70 percent at http example com sale
ham,hi bob can you call me
spam,congratulations win a 500 gift card
ham,reminder project due on friday
spam,free offer click here now
ham,just sent you the updates
spam,win 600 now visit http example com promo
ham,can we meet at 4 pm
spam,urgent action needed click now
ham,thanks for the input
spam,save 75 percent today click http example com
ham,hi alice lets discuss tomorrow
spam,exclusive deal save big now
ham,reminder call is at 3 pm
spam,win a free 50 gift card click here
ham,can you review the changes
spam,urgent verify at http example com verify
ham,lets plan for next week
spam,congratulations claim your 100 bonus
ham,thanks for the email
spam,free trial at http example com trial
ham,hi bob hope all is well
spam,save 80 percent click http example com sale
ham,can we talk tomorrow
spam,win 400 now click to claim
ham,reminder meeting at 10 am
spam,exclusive offer visit http example com now
ham,just checking on the project
spam,urgent renew your account now
ham,thanks for the quick reply
spam,click to save 65 percent today
ham,lets meet on monday
spam,win a 200 gift card click here
ham,can you send the files
spam,free offer click http example com deal
ham,hi alice thanks for the update
spam,save 55 percent now visit http example com
ham,reminder deadline is next week
spam,congratulations youve won a 300 prize
ham,can we discuss at 2 pm
spam,urgent verify your email now
ham,thanks for the support
spam,win 750 now click http example com prize
ham,lets catch up soon
spam,free 100 gift card click to claim
ham,hi bob can we meet
spam,save 60 percent today click here
ham,reminder submit by tomorrow
spam,exclusive deal limited time now
ham,just sent the report
spam,win a 500 gift card click here
ham,can you join the meeting
spam,urgent action required click now
ham,thanks for the feedback
spam,save 70 percent visit http example com sale
ham,hi alice hope youre well
spam,congratulations claim your free prize
ham,lets plan for thursday
spam,win 600 instantly click here
ham,can we meet tomorrow
spam,free offer visit http example com now
ham,thanks for the quick response
spam,urgent verify your account details
ham,reminder meeting is on friday
spam,click to save 75 percent today
ham,hi bob lets discuss soon
spam,win a 400 gift card click here
ham,can you send the updates
